,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
308,Battle Islands,11.0,383.59999999999997,0.0009691629955947136,24096.0,Strategy,,PC,505 Games,505 Games,,,,,,,,,2014.0
309,Battle Los Angeles,1.0,4.1,8.81057268722467e-05,24150.0,Shooter,T,PC,Konami,Live Action Studios,4.5,,,,,,,,2011.0
314,BattleBlock Theater,106.0,625.7000000000002,0.00933920704845815,429.0,Platform,,PC,The Behemoth,The Behemoth,,,3.61,,,,,,2014.0
316,Battlefield 2,14.0,191.3,0.0012334801762114538,13440.0,Shooter,T,PC,Electronic Arts,Digital Illusions CE,9.0,,,0.08,,0.07,,0.01,2005.0
317,Battlefield Bad Company 2,111.0,6678.5999999999985,0.009779735682819384,3290.0,Shooter,M,PC,Electronic Arts,EA Digital Illusions CE,8.8,,,0.72,0.19,0.53,,,2010.0
319,Battlepaths,10.0,53.199999999999996,0.000881057268722467,24200.0,Role-Playing,,PC,Digerati Distribution,Key17 Games,,,,,,,,,2012.0
320,Battleplan American Civil War,1.0,3.1,8.81057268722467e-05,12195.0,Strategy,,PC,Kiss,The Mustard Corporation,,,0.1,,,,,,2014.0
321,Battlestations Midway,4.0,24.7,0.0003524229074889868,18939.0,Strategy,T,PC,Eidos Interactive,Eidos Hungary,7.7,,,0.01,,0.01,,0.0,2007.0
322,Battlestations Pacific,10.0,153.20000000000002,0.000881057268722467,17286.0,Strategy,T,PC,Eidos Interactive,Eidos Studios Hungary,,,,0.02,,0.02,,0.0,2009.0
323,BeamNG.drive,18.0,123.3,0.0015859030837004405,2967.0,Simulation,,PC,Unknown,BeamNG,,,0.8,,,,,,2000.0
326,Beat Hazard,34.0,191.9,0.0029955947136563878,3833.0,Shooter,,PC,Cold Beam Games,ShadowRage,,,0.6,,,,,,2010.0
328,Bedlam,1.0,3.4,8.81057268722467e-05,24324.0,Action,T,PC,GT Interactive,Bruce Sidell,,,,,,,,,1996.0
329,Before the Echo,10.0,19.199999999999996,0.000881057268722467,10303.0,Music,,PC,Unknown,Iridium Studios,,,0.15,,,,,,2011.0
330,Bejeweled 2 Deluxe,3.0,2.4,0.00026431718061674007,17639.0,Puzzle,E,PC,PopCap Games,PopCap Games,,,,0.02,,0.02,,0.0,2006.0
331,Bejeweled 3,14.0,213.69999999999996,0.0012334801762114538,6804.0,Puzzle,E,PC,PopCap Games,PopCap Games,8.1,,0.3,,,,,,2010.0
332,Bejeweled Deluxe,1.0,1.0,8.81057268722467e-05,24353.0,Puzzle,,PC,PopCap Games,PopCap Games,,,,,,,,,2004.0
333,"Ben There, Dan That!",5.0,6.6,0.0004405286343612335,24376.0,Adventure,,PC,Zombie Cow Studios,Zombie Cow Studios,,,,,,,,,2008.0
336,Betrayer,6.0,14.499999999999998,0.0005286343612334801,8390.0,Action-Adventure,,PC,Unknown,Blackpowder Games,,,0.22,,,,,,2008.0
339,Beyond Divinity,2.0,1.5,0.0001762114537444934,20549.0,Role-Playing,M,PC,Hip Interactive,Larian Studios,,,,0.0,,0.0,,0.0,2004.0
340,Beyond Eyes,1.0,1.5,8.81057268722467e-05,24418.0,Adventure,,PC,Team17 Software,Tiger & Squid,,,,,,,,,2015.0
341,Beyond Good & Evil,3.0,14.2,0.00026431718061674007,21095.0,Adventure,T,PC,Ubisoft,Ubisoft Montpellier,,,,0.0,,0.0,,,2003.0
342,Beyond Space,1.0,12.6,8.81057268722467e-05,24430.0,Action,,PC,Plug In Digital,Bulkypix,,,,,,,,,2014.0
344,Big Brain Wolf,2.0,1.0,0.0001762114537444934,24450.0,Adventure,,PC,Frima Studio,Frima Studio,,,,,,,,,2009.0
346,Big Pharma,3.0,28.4,0.00026431718061674007,8159.0,Simulation,,PC,Unknown,Twice Circled,,,0.23,,,,,,2010.0
347,Binary Domain,7.0,34.3,0.0006167400881057269,24517.0,Action,M,PC,Sega,Devils Details,,,,,,,,,2012.0
